referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close,Pinnacle_+2_AH_H_Open,Pinnacle_+2_AH_H_Close,Pinnacle_-2_AH_A_Open,Pinnacle_-2_AH_A_Close,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_+2.25_AH_H_Open,Pinnacle_+2.25_AH_H_Close,Pinnacle_-2.25_AH_A_Open,Pinnacle_-2.25_AH_A_Close,Pinnacle_+2.5_AH_H_Open,Pinnacle_+2.5_AH_H_Close,Pinnacle_-2.5_AH_A_Open,Pinnacle_-2.5_AH_A_Close,Pinnacle_+2.75_AH_H_Open,Pinnacle_+2.75_AH_H_Close,Pinnacle_-2.75_AH_A_Open,Pinnacle_-2.75_AH_A_Close,Pinnacle_+3_AH_H_Open,Pinnacle_+3_AH_H_Close,Pinnacle_-3_AH_A_Open,Pinnacle_-3_AH_A_Close
/football/malta/premier-league/gudja-balzan-fc/,Mkq9FLXe,Gudja,Balzan,2:2,premier-league,malta,main,2023,2023-11-25,Pinnacle,4.84,2.81,1.96,3.58,3.18,1.95,,,,,,,,,,,,,,,,,2.62,3.26,1.42,1.32,2.06,2.24,1.68,1.64,1.79,1.85,1.95,1.96,,,,,1.58,1.62,2.25,2.28,1.37,1.39,2.80,2.89,1.41,1.41,2.75,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/marsaxlokk-hamrun/,0trDEum2,Marsaxlokk,Hamrun,0:1,premier-league,malta,main,2023,2023-11-25,Pinnacle,5.55,2.83,1.86,4.19,3.33,1.74,,,,,,,,,,,,,,,,,3.77,3.74,1.25,1.25,2.34,2.42,1.50,1.56,1.98,1.96,1.72,1.86,,,,,1.78,1.71,1.98,2.12,1.51,1.46,2.35,2.62,1.39,1.47,2.66,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/sirens-hibernians/,vRg4G1Ik,Sirens,Hibernians,1:2,premier-league,malta,main,2023,2023-11-25,Pinnacle,4.58,3.57,1.75,5.16,3.76,1.52,,,,,,,,,,,,,,,,,,,,,2.46,2.48,1.52,1.51,2.33,2.09,1.50,1.73,,,,,2.08,1.86,1.65,1.96,1.83,1.60,1.92,2.32,1.60,1.45,2.17,2.64,1.46,1.46,2.43,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/sliema-floriana/,QNk0Hs3q,Sliema,Floriana,0:2,premier-league,malta,main,2023,2023-11-25,Pinnacle,3.87,3.27,1.97,5.00,3.76,1.63,,,,,,,,,,,,,,,,,3.20,2.78,1.33,1.41,2.71,2.15,1.43,1.69,2.25,1.85,1.62,1.97,,,,,2.00,1.63,1.81,2.27,1.72,1.40,2.09,2.84,1.54,1.42,2.39,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/balzan-fc-naxxar-lions/,8r3YLNfS,Balzan,Naxxar,1:2,premier-league,malta,main,2023,2023-11-05,Pinnacle,1.53,4.16,5.47,1.38,4.46,5.95,1.59,1.89,2.18,1.93,1.45,1.65,2.46,2.19,1.47,1.51,2.57,2.46,,,,,,,,,,,,,,,,,1.85,2.16,1.89,1.68,,,,,,,,,,,,,,,,,,,,,2.04,2.41,1.68,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/floriana-sirens/,Ui4UM3uM,Floriana,Sirens,3:0,premier-league,malta,main,2023,2023-11-05,Pinnacle,1.38,3.90,11.61,1.30,4.68,7.42,1.46,1.58,2.44,2.35,1.45,1.45,2.66,2.68,,,,,,,,,,,,,,,,,,,,,1.69,1.85,2.02,1.97,,,,,,,,,,,,,,,,,2.18,2.40,1.60,1.54,1.94,2.08,1.81,1.74,2.62,2.75,1.40,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/hamrun-mosta-fc/,v3BHP5e3,Hamrun,Mosta,1:1,premier-league,malta,main,2023,2023-11-05,Pinnacle,1.40,4.66,7.16,1.33,4.60,6.84,1.50,1.62,2.34,2.28,1.44,1.47,2.67,2.60,,,,,,,,,,,,,,,,,,,,,1.73,1.89,1.96,1.93,,,,,,,,,,,,,,,,,2.23,2.45,1.57,1.52,1.98,2.13,1.77,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/hibernians-gudja/,CG9PNqQF,Hibernians,Gudja,1:0,premier-league,malta,main,2023,2023-11-05,Pinnacle,1.61,3.46,6.15,1.47,3.95,5.49,1.80,2.03,1.94,1.80,1.58,1.76,2.20,2.05,1.45,1.59,2.46,2.29,,,,,,,,,,,,,,,,,2.05,2.31,1.68,1.61,,,,,,,,,,,,,,,,,2.54,2.63,1.48,1.45,2.29,2.57,1.52,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/santa-lucia-sliema/,YPALOPA9,Santa Lucia,Sliema,0:1,premier-league,malta,main,2023,2023-11-05,Pinnacle,4.40,3.53,1.78,3.87,3.34,1.94,,,,,,,,,,,,,,,,,2.81,3.03,1.41,1.36,2.17,2.41,1.68,1.54,1.87,2.04,1.94,1.77,,,,,1.65,1.81,2.23,2.02,1.42,1.55,2.77,2.44,1.42,1.42,2.78,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/malta/premier-league/birkirkara-marsaxlokk/,vDEV123d,Birkirkara,Marsaxlokk,0:2,premier-league,malta,main,2023,2023-11-04,Pinnacle,1.89,2.95,4.89,1.75,3.41,4.12,2.37,2.55,1.52,1.48,1.98,2.13,1.77,1.70,1.74,1.89,1.98,1.93,1.52,1.60,2.33,2.33,1.34,1.30,3.07,3.37,,,,,,,,,2.69,2.64,1.40,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
