referer,id,mandante,visitante,placar,liga,country,round,year,data
/football/cameroon/elite-one/colombe-union-douala/,4hmgGNRL,Colombe,Union Douala,1:1,elite-one,cameroon,main,2023,2023-10-09
/football/cameroon/elite-one/apejes-academy-yong-sports/,fw49PtNP,APEJES Academy,Yong Sports Academy,1:1,elite-one,cameroon,main,2023,2023-10-08
/football/cameroon/elite-one/avion-academy-fovu-baham/,Gn55QM7J,Avion Academy,Fovu Baham,1:1,elite-one,cameroon,main,2023,2023-10-08
/football/cameroon/elite-one/cotonsport-victoria-united/,ltDJ2JFC,Cotonsport,Victoria United,1:0,elite-one,cameroon,main,2023,2023-10-08
/football/cameroon/elite-one/aigle-royal-as-fortuna-mfou/,E3ftJPs3,Aigle Royal,Fortuna Mfou,0:1,elite-one,cameroon,main,2023,2023-10-08
/football/cameroon/elite-one/bamboutos-fc-gazelle/,MTclH3CF,Bamboutos FC,Gazelle,2:0,elite-one,cameroon,main,2023,2023-10-08
/football/cameroon/elite-one/les-astres-dynamo-douala/,zDexK5Sd,Les Astres,Dynamo Douala,2:3,elite-one,cameroon,main,2023,2023-10-08
/football/cameroon/elite-one/avion-academy-ums-de-loum/,6HNE3a06,Avion Academy,UMS de Loum,POS,elite-one,cameroon,main,2023,2023-10-05
/football/cameroon/elite-one/cotonsport-stade-renard/,K0P65LVg,Cotonsport,Stade Renard,0:0,elite-one,cameroon,main,2023,2023-10-05
/football/cameroon/elite-one/bamenda-bamboutos-fc/,QsEocrLq,Bamenda,Bamboutos FC,1:0,elite-one,cameroon,main,2023,2023-10-05
/football/cameroon/elite-one/union-douala-gazelle/,Y7HgeMkd,Union Douala,Gazelle,0:1,elite-one,cameroon,main,2023,2023-10-05
/football/cameroon/elite-one/fovu-baham-apejes-academy/,SQOA4uo0,Fovu Baham,APEJES Academy,0:0,elite-one,cameroon,main,2023,2023-10-04
/football/cameroon/elite-one/canon-yaounde-colombe/,K4Dkd2zj,Canon Yaounde,Colombe,2:1,elite-one,cameroon,main,2023,2023-10-04
/football/cameroon/elite-one/dynamo-douala-as-fortuna-mfou/,MeKLFjyB,Dynamo Douala,Fortuna Mfou,0:0,elite-one,cameroon,main,2023,2023-10-04
/football/cameroon/elite-one/les-astres-aigle-royal/,lIjIEAjH,Les Astres,Aigle Royal,2:1,elite-one,cameroon,main,2023,2023-10-04
/football/cameroon/elite-one/fauve-azur-elite-victoria-united/,Ecea97mJ,Fauve Azur Elite,Victoria United,1:2,elite-one,cameroon,main,2023,2023-09-27
