referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close
/football/albania/superliga/teuta-laci/,zyMJK1OC,Teuta,Laci,1:1,superliga,albania,main,2023,2023-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/erzeni-shijak-kf-egnatia/,GWb6r5GJ,Erzeni,Egnatia,0:1,superliga,albania,main,2023,2023-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kf-tirana-teuta/,t07GLs96,KF Tirana,Teuta,2:0,superliga,albania,main,2023,2023-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/laci-partizani/,CKFaPP9s,Laci,Partizani,0:1,superliga,albania,main,2023,2023-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/vllaznia-erzeni-shijak/,298CMNg0,Vllaznia,Erzeni,1:1,superliga,albania,main,2023,2023-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/dinamo-tirana-skenderbeu-korca/,6sF3OqPm,Dinamo Tirana,Skenderbeu,2:1,superliga,albania,main,2023,2023-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kf-egnatia-kukesi/,KpJ7N3vf,Egnatia,Kukesi,2:1,superliga,albania,main,2023,2023-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kf-tirana-dinamo-tirana/,ABTXT51Q,KF Tirana,Dinamo Tirana,1:1,superliga,albania,main,2023,2023-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/skenderbeu-korca-kf-egnatia/,hzZSUonK,Skenderbeu,Egnatia,1:1,superliga,albania,main,2023,2023-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/teuta-partizani/,l6rw8Ov7,Teuta,Partizani,0:1,superliga,albania,main,2023,2023-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
