referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close
/football/brazil/serie-d/maranhao-ferroviario/,dQWBw5AO,Maranhao,Ferroviario,1:1,serie-d,brazil,main,2023,2023-08-27,Pinnacle,2.55,2.71,2.91,2.62,2.74,2.50,,,,,2.56,2.49,1.38,1.46,2.23,2.14,1.52,1.64,1.88,1.75,1.79,2.01,1.57,1.50,2.13,2.44,,,,,,,,,,,,,,,,,1.41,1.36,2.45,2.84,,,,
/football/brazil/serie-d/ser-caxias-do-sul-portuguesa-rj/,nkCLc8et,SER Caxias,Portuguesa RJ,1:1,serie-d,brazil,main,2023,2023-08-27,Pinnacle,1.92,2.89,4.19,2.21,2.64,3.19,2.60,2.24,1.37,1.58,2.19,1.92,1.54,1.82,1.88,1.63,1.78,2.16,1.52,1.33,2.23,2.95,1.35,1.34,2.67,2.91,2.74,2.88,1.38,1.35,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/bahia-de-feira-athletic-club/,xOGAuRuC,Bahia de Feira,Athletic Club,0:2,serie-d,brazil,main,2023,2023-08-26,Pinnacle,2.48,2.59,3.17,2.34,2.54,3.07,2.82,3.00,1.33,1.33,2.34,2.46,1.49,1.49,1.99,2.08,1.70,1.70,1.59,1.65,2.13,2.12,1.38,1.42,2.59,2.60,,,,,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/ferroviaria-sousa/,840UenQh,Ferroviaria,Sousa,1:0,serie-d,brazil,main,2023,2023-08-26,Pinnacle,1.80,3.00,4.62,1.94,2.77,3.69,2.25,2.05,1.51,1.69,1.96,1.80,1.73,1.94,1.65,1.53,2.00,2.34,1.35,1.27,2.64,3.31,,,,,2.85,2.54,1.30,1.44,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/anapolis-ferroviaria/,hIJtQ7tS,Anapolis,Ferroviaria,0:1,serie-d,brazil,main,2023,2023-08-20,Pinnacle,2.06,2.93,3.57,1.80,2.90,4.02,2.05,2.40,1.61,1.49,1.81,2.05,1.85,1.70,1.54,1.77,2.18,1.99,1.28,1.45,2.95,2.56,1.37,1.32,2.63,3.01,,,,,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/ferroviario-nacional-pb/,Agj7tTQ8,Ferroviario,Nacional de Patos,3:1,serie-d,brazil,main,2023,2023-08-20,Pinnacle,1.41,3.81,7.42,1.43,3.65,5.68,1.54,1.51,2.22,2.36,,,,,,,,,,,,,,,,,1.73,1.70,1.95,2.03,1.98,2.02,1.68,1.74,2.50,2.71,1.45,1.39,2.21,2.30,1.53,1.56,,,,,,,,
/football/brazil/serie-d/portuguesa-rj-patrocinense/,x4znZpJr,Portuguesa RJ,Patrocinense,3:1,serie-d,brazil,main,2023,2023-08-20,Pinnacle,1.56,3.30,6.18,1.51,3.23,5.59,1.66,1.74,1.99,2.03,1.50,1.55,2.24,2.30,1.35,1.35,2.83,2.90,,,,,,,,,1.96,2.02,1.73,1.71,2.24,2.35,1.52,1.52,,,,,2.51,2.62,1.39,1.42,,,,,,,,
/football/brazil/serie-d/sousa-atletico-cearense/,Ia3LIPY1,Sousa,Atletico-CE,2:1,serie-d,brazil,main,2023,2023-08-20,Pinnacle,1.70,3.22,4.79,1.70,3.05,4.28,1.93,1.93,1.74,1.81,1.69,1.69,1.94,2.05,1.46,1.47,2.32,2.48,1.28,1.28,3.18,3.18,,,,,2.30,2.33,1.49,1.54,2.60,2.67,1.37,1.40,,,,,,,,,,,,,,,,
/football/brazil/serie-d/athletic-club-camboriu/,OxSPTks3,Athletic Club,Camboriu,2:0,serie-d,brazil,main,2023,2023-08-19,Pinnacle,1.52,3.33,6.16,1.66,2.97,4.78,1.88,1.68,1.78,2.03,1.65,1.51,2.00,2.33,1.42,1.35,2.44,2.86,1.27,1.24,3.26,3.52,,,,,2.25,2.01,1.51,1.72,2.57,2.37,1.37,1.51,,,,,2.69,2.69,1.38,1.38,,,,,,,,
/football/brazil/serie-d/ceilandia-ser-caxias-do-sul/,6LqGv7eL,Ceilandia,SER Caxias,0:1,serie-d,brazil,main,2023,2023-08-19,Pinnacle,2.04,2.71,4.05,1.65,3.14,4.46,1.86,2.38,1.81,1.52,1.64,2.04,2.01,1.72,1.43,1.71,2.41,2.03,1.36,1.38,2.67,2.77,1.35,1.36,2.83,2.80,2.18,3.04,1.54,1.32,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/nacional-am-manaus-bahia-de-feira/,O0ACKo4k,Nacional-AM,Bahia de Feira,3:2,serie-d,brazil,main,2023,2023-08-19,Pinnacle,1.92,2.71,4.67,1.79,2.90,4.09,2.03,2.24,1.63,1.58,1.80,1.92,1.87,1.83,1.53,1.60,2.20,2.20,1.27,1.29,3.00,3.20,,,,,2.49,2.92,1.40,1.34,2.74,2.90,1.38,1.33,,,,,,,,,,,,,,,,
/football/brazil/serie-d/retro-maranhao/,W2VXRTBF,Retro,Maranhao,2:3,serie-d,brazil,main,2023,2023-08-19,Pinnacle,1.57,3.44,5.57,1.98,2.85,3.41,2.27,1.72,1.48,2.01,1.97,1.55,1.67,2.26,1.72,1.37,1.97,2.78,,,,,,,,,2.73,2.00,1.35,1.75,2.55,2.29,1.41,1.56,,,,,2.17,2.56,1.54,1.43,,,,,,,,
/football/brazil/serie-d/bahia-de-feira-nacional-am-manaus/,pAB8LRlq,Bahia de Feira,Nacional-AM,2:0,serie-d,brazil,main,2023,2023-08-15,Pinnacle,1.84,2.88,4.66,2.49,2.62,2.75,2.57,2.14,1.42,1.64,2.44,1.84,1.42,1.90,2.10,1.56,1.58,2.30,1.74,1.28,1.94,3.28,,,,,3.05,2.76,1.31,1.38,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/maranhao-retro/,IaRTS9d9,Maranhao,Retro,0:0,serie-d,brazil,main,2023,2023-08-13,Pinnacle,2.26,2.80,3.27,1.74,3.09,4.18,1.94,2.68,1.71,1.40,1.74,2.24,1.94,1.58,1.50,1.93,2.31,1.82,1.27,1.56,3.12,2.28,1.31,1.39,2.90,2.73,,,,,,,,,,,,,,,,,1.36,1.39,2.78,2.71,,,,
/football/brazil/serie-d/nacional-pb-ferroviario/,W2i3s9B2,Nacional de Patos,Ferroviario,0:0,serie-d,brazil,main,2023,2023-08-13,Pinnacle,2.25,2.90,3.17,3.36,2.88,1.99,2.71,2.68,1.39,1.40,2.80,2.23,1.36,1.59,2.87,1.93,1.30,1.82,2.47,1.58,1.42,2.25,1.96,1.40,1.73,2.66,,,,,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/ser-caxias-do-sul-ceilandia/,SUpCumtF,SER Caxias,Ceilandia,0:0,serie-d,brazil,main,2023,2023-08-13,Pinnacle,1.93,2.97,4.01,2.23,2.79,3.11,2.60,2.25,1.38,1.58,2.57,1.93,1.37,1.82,2.24,1.64,1.52,2.14,1.88,1.35,1.79,2.86,,,,,2.59,2.93,1.40,1.34,2.71,2.91,1.37,1.34,,,,,,,,,,,,,,,,
/football/brazil/serie-d/atletico-cearense-sousa/,6PaHJ5Je,Atletico-CE,Sousa,1:2,serie-d,brazil,main,2023,2023-08-12,Pinnacle,2.06,2.77,3.87,2.29,2.69,2.95,2.70,2.38,1.34,1.50,2.27,2.04,1.50,1.70,1.97,1.74,1.72,2.02,1.60,1.41,2.08,2.70,1.40,1.29,2.49,3.22,2.90,2.93,1.34,1.33,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/camboriu-athletic-club/,pnTLUVRd,Camboriu,Athletic Club,1:0,serie-d,brazil,main,2023,2023-08-12,Pinnacle,2.71,2.57,2.88,2.65,2.56,2.71,,,,,2.59,2.65,1.39,1.41,2.22,2.25,1.54,1.58,1.81,1.81,1.85,1.93,1.52,1.52,2.27,2.39,,,,,,,,,,,,,,,,,1.37,1.37,2.65,2.81,,,,
/football/brazil/serie-d/ferroviaria-anapolis/,ERKxRmRL,Ferroviaria,Anapolis,1:0,serie-d,brazil,main,2023,2023-08-12,Pinnacle,2.03,2.85,3.52,2.26,2.68,3.03,2.69,2.31,1.36,1.43,2.26,1.98,1.52,1.61,1.94,1.74,1.74,1.93,1.58,1.38,2.15,2.38,,,,,2.83,2.85,1.35,1.20,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/patrocinense-portuguesa-rj/,0rqKwRAR,Patrocinense,Portuguesa RJ,0:0,serie-d,brazil,main,2023,2023-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/maringa-fc-camboriu/,OYFMHnnO,Maringa FC,Camboriu,1:2,serie-d,brazil,main,2023,2023-08-07,Pinnacle,1.68,3.10,5.27,1.68,2.97,4.60,1.92,1.91,1.76,1.83,1.67,1.68,1.97,2.08,1.44,1.44,2.38,2.55,,,,,,,,,2.29,2.31,1.49,1.55,2.60,2.67,1.36,1.40,,,,,,,,,,,,,,,,
/football/brazil/serie-d/anapolis-democrata-gv/,0INchWIC,Anapolis,Democrata GV,3:1,serie-d,brazil,main,2023,2023-08-06,Pinnacle,1.61,3.32,5.45,1.63,3.14,4.63,1.83,1.81,1.84,1.94,1.63,1.60,2.07,2.21,1.41,1.39,2.50,2.72,1.26,1.29,3.32,3.15,,,,,2.16,2.14,1.57,1.64,2.46,2.48,1.43,1.46,,,,,,,,,,,,,,,,
/football/brazil/serie-d/atletico-cearense-aguia-de-maraba/,G8CEJ8HB,Atletico-CE,Aguia De Maraba,3:0,serie-d,brazil,main,2023,2023-08-06,Pinnacle,2.18,2.74,3.49,2.18,2.70,3.15,2.57,2.55,1.39,1.43,2.18,2.16,1.56,1.62,1.87,1.85,1.80,1.88,1.53,1.49,2.25,2.43,1.36,1.34,2.68,2.91,,,,,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/nacional-am-manaus-parnahyba/,fLKkfhl0,Nacional-AM,Parnahyba,3:0,serie-d,brazil,main,2023,2023-08-06,Pinnacle,1.47,3.72,6.49,1.50,3.46,5.17,1.63,1.57,2.05,2.25,1.49,1.45,2.30,2.52,,,,,,,,,,,,,1.88,1.78,1.79,1.96,2.14,2.05,1.58,1.69,,,,,2.39,2.30,1.45,1.53,,,,,,,,
/football/brazil/serie-d/nacional-pb-asa/,8OpP8i3g,Nacional de Patos,ASA,3:1,serie-d,brazil,main,2023,2023-08-06,Pinnacle,1.88,3.09,3.77,2.01,2.75,3.50,2.32,2.17,1.46,1.60,1.99,1.88,1.65,1.83,1.73,1.63,1.95,2.12,1.41,1.36,2.52,2.76,,,,,2.92,2.71,1.33,1.38,,,,,,,,,,,,,,,,,,,,
/football/brazil/serie-d/patrocinense-brasil-de-pelotas/,S649EMZE,Patrocinense,Brasil de Pelotas,2:1,serie-d,brazil,main,2023,2023-08-06,Pinnacle,1.92,2.82,4.34,2.05,2.62,3.61,2.42,2.23,1.44,1.59,2.05,1.92,1.64,1.82,1.75,1.62,1.93,2.17,1.41,1.32,2.57,3.03,,,,,2.99,2.87,1.32,1.35,,,,,,,,,,,,,,,,,,,,
