referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-2.75_AH_H_Open,Pinnacle_-2.75_AH_H_Close,Pinnacle_+2.75_AH_A_Open,Pinnacle_+2.75_AH_A_Close,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close
/football/montenegro/prva-crnogorska-liga/mornar-bar-rudar/,8tUaaxiB,Mornar Bar,Rudar,2:1,prva-crnogorska-liga,montenegro,main,2023,2023-11-13,Pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/buducnost-jedinstvo/,0v9vhfqo,Buducnost,Jedinstvo,3:2,prva-crnogorska-liga,montenegro,main,2023,2023-11-11,Pinnacle,1.29,5.32,8.96,1.29,4.83,7.50,,,,,,,,,,,,,,,,,,,,,2.05,2.01,1.67,1.78,1.85,1.82,1.88,2.01,1.63,1.61,2.12,2.28,1.42,1.40,2.55,2.79,,,,,,,,,,,,,,,,,,,,,2.59,2.59,1.46,1.46,2.41,2.34,1.47,1.56,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/decic-jezero/,23T3bd6H,Decic,Jezero,0:0,prva-crnogorska-liga,montenegro,main,2023,2023-11-11,Pinnacle,1.50,3.63,7.92,1.58,3.44,5.22,1.76,1.65,2.00,2.23,1.57,1.48,2.23,2.58,,,,,,,,,,,,,2.70,2.87,1.43,1.39,2.63,2.71,1.45,1.44,2.31,2.35,1.51,1.59,2.02,1.96,1.69,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/mladost-dg-sutjeska/,G6X7cGLN,Mladost DG,Sutjeska,1:1,prva-crnogorska-liga,montenegro,main,2023,2023-11-11,Pinnacle,6.15,3.73,1.56,4.61,3.50,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,2.40,1.62,1.54,1.93,2.10,1.82,1.72,1.65,1.79,2.09,2.05,1.48,1.56,2.37,2.41,1.46,1.43,2.59,2.75,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/petrovac-arsenal-tivat/,bVMCdzyU,Petrovac,Arsenal Tivat,1:1,prva-crnogorska-liga,montenegro,main,2023,2023-11-11,Pinnacle,1.97,3.06,4.21,2.05,2.98,3.43,2.36,2.28,1.49,1.62,2.03,1.97,1.68,1.85,1.78,1.67,1.97,2.18,1.46,1.38,2.48,2.95,,,,,,,,,,,,,,,,,2.76,2.90,1.41,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/arsenal-tivat-buducnost/,GQFj3Kin,Arsenal Tivat,Buducnost,1:1,prva-crnogorska-liga,montenegro,main,2023,2023-11-05,Pinnacle,5.09,3.75,1.63,4.24,3.29,1.74,,,,,,,,,,,,,,,,,2.34,2.73,1.50,1.42,,,,,,,,,,,,,,,,,1.97,2.26,1.72,1.61,1.78,2.02,1.98,1.79,1.52,1.74,2.33,2.07,1.40,1.55,2.64,2.36,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/jedinstvo-mornar-bar/,2NBn40xt,Jedinstvo,Mornar Bar,1:1,prva-crnogorska-liga,montenegro,main,2023,2023-11-05,Pinnacle,2.83,2.90,2.63,2.58,2.77,2.74,,,,,2.52,3.14,1.43,1.25,2.18,2.66,1.60,1.38,1.81,2.17,1.93,1.63,1.53,1.79,2.32,2.00,,,,,,,,,,,,,,,,,1.38,1.57,2.68,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/rudar-decic/,UkVe0Iy5,Rudar,Decic,0:1,prva-crnogorska-liga,montenegro,main,2023,2023-11-05,Pinnacle,3.94,3.06,2.04,4.05,3.20,1.80,,,,,,,,,3.12,3.14,1.34,1.34,3.00,2.76,1.31,1.42,2.26,2.09,1.56,1.73,,,,,,,,,,,,,,,,,1.93,1.79,1.81,2.04,1.68,1.58,2.03,2.37,1.45,1.36,2.46,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/sutjeska-petrovac/,AmFf2v7h,Sutjeska,Petrovac,3:2,prva-crnogorska-liga,montenegro,main,2023,2023-11-05,Pinnacle,1.57,3.65,5.93,1.45,3.92,5.87,1.55,1.72,2.26,2.08,1.43,1.55,2.52,2.35,,,,,,,,,,,,,,,,,2.23,2.64,1.55,1.45,1.99,2.34,1.71,1.58,1.76,2.02,2.00,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/jezero-mladost-dg/,lvEb1bMb,Jezero,Mladost DG,2:0,prva-crnogorska-liga,montenegro,main,2023,2023-11-04,Pinnacle,1.88,3.15,4.49,1.93,3.04,3.74,2.21,2.17,1.58,1.68,1.94,1.88,1.80,1.93,1.65,1.60,2.08,2.31,1.38,1.33,2.71,3.18,,,,,,,,,,,,,,,,,2.75,2.74,1.36,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/buducnost-sutjeska/,OhAzcqVC,Buducnost,Sutjeska,1:0,prva-crnogorska-liga,montenegro,main,2023,2023-10-28,Pinnacle,2.13,3.17,3.50,2.04,3.13,3.29,2.32,2.44,1.51,1.53,2.02,2.11,1.69,1.72,1.78,1.83,1.97,2.00,1.48,1.52,2.43,2.51,1.35,1.38,2.81,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/jedinstvo-arsenal-tivat/,2q9vd3pJ,Jedinstvo,Arsenal Tivat,3:2,prva-crnogorska-liga,montenegro,main,2023,2023-10-28,Pinnacle,2.95,2.90,2.58,2.48,2.84,2.79,,,,,2.43,2.87,1.46,1.39,2.10,2.48,1.64,1.53,1.76,2.05,2.00,1.79,1.51,1.68,2.37,2.17,,,,,,,,,,,,,,,,,1.37,1.50,2.72,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/mladost-dg-rudar/,GS6Sb500,Mladost DG,Rudar,0:1,prva-crnogorska-liga,montenegro,main,2023,2023-10-28,Pinnacle,1.53,3.93,5.06,2.17,2.98,3.15,2.51,1.67,1.43,2.08,2.15,1.51,1.61,2.36,1.88,1.39,1.85,2.61,,,,,,,,,,,,,2.66,2.47,1.44,1.43,2.60,2.27,1.42,1.57,2.51,1.96,1.48,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/mornar-bar-decic/,Y3HNaoof,Mornar Bar,Decic,0:1,prva-crnogorska-liga,montenegro,main,2023,2023-10-28,Pinnacle,4.89,3.50,1.65,3.11,2.80,2.30,,,,,,,,,,,,,,,,,1.78,2.61,1.97,1.43,,,,,,,,,,,,,,,,,1.55,2.17,2.28,1.63,1.37,1.88,2.71,1.93,1.35,1.60,2.86,2.23,1.50,1.44,2.37,2.58,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/petrovac-jezero/,fJ5WcPF6,Petrovac,Jezero,0:0,prva-crnogorska-liga,montenegro,main,2023,2023-10-28,Pinnacle,2.39,2.84,3.34,2.03,2.98,3.49,2.33,2.83,1.50,1.40,2.01,2.36,1.70,1.58,1.76,2.01,2.00,1.81,1.44,1.62,2.53,2.28,1.32,1.42,2.95,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/jezero-buducnost/,vmDl6m8Q,Jezero,Buducnost,1:3,prva-crnogorska-liga,montenegro,main,2023,2023-10-22,Pinnacle,3.89,3.26,1.97,3.88,3.13,1.86,,,,,,,,,,,,,2.84,2.80,1.34,1.41,2.16,2.15,1.60,1.69,,,,,,,,,,,,,,,,,1.86,1.85,1.88,1.97,1.63,1.63,2.12,2.26,1.41,1.41,2.59,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/arsenal-tivat-mornar-bar/,rLJu89wE,Arsenal Tivat,Mornar Bar,2:2,prva-crnogorska-liga,montenegro,main,2023,2023-10-21,Pinnacle,2.72,2.49,3.32,2.29,2.75,3.20,2.71,2.92,1.38,1.38,2.26,2.65,1.55,1.45,1.95,2.21,1.79,1.66,1.57,1.73,2.22,2.13,1.39,1.46,2.67,2.70,,,,,,,,,,,,,,,,,1.32,1.32,3.22,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/decic-mladost-dg/,zJbK0RVm,Decic,Mladost DG,4:1,prva-crnogorska-liga,montenegro,main,2023,2023-10-21,Pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/rudar-petrovac/,tdaG17Gs,Rudar,Petrovac,1:0,prva-crnogorska-liga,montenegro,main,2023,2023-10-21,Pinnacle,2.70,2.69,3.04,2.77,2.88,2.46,,,,,2.71,2.63,1.38,1.46,2.36,2.23,1.51,1.65,2.00,1.80,1.76,2.03,1.64,1.52,2.09,2.51,,,,,,,,,,,,,,,,,1.47,1.37,2.41,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/sutjeska-jedinstvo/,MBIq7ThK,Sutjeska,Jedinstvo,2:0,prva-crnogorska-liga,montenegro,main,2023,2023-10-21,Pinnacle,1.42,4.40,7.13,1.29,4.78,7.52,1.45,1.50,2.65,2.51,,,,,,,,,,,,,,,,,2.07,2.50,1.66,1.50,1.87,2.17,1.87,1.68,1.64,1.93,2.10,1.88,1.43,1.66,2.53,2.20,,,,,,,,,,,,,,,,,,,,,,,,,2.45,2.73,1.46,1.42,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/buducnost-rudar/,YkxkonW0,Buducnost,Rudar,2:0,prva-crnogorska-liga,montenegro,main,2023,2023-10-08,Pinnacle,1.29,5.41,8.95,1.28,4.72,8.03,1.51,1.43,2.45,2.72,,,,,,,,,,,,,,,,,2.08,2.04,1.65,1.77,1.87,1.83,1.87,1.99,1.64,1.62,2.10,2.27,1.42,1.41,2.55,2.79,,,,,,,,,,,,,,,,,,,,,,,,,2.48,2.37,1.44,1.55,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/arsenal-tivat-sutjeska/,UHVcqQ0D,Arsenal Tivat,Sutjeska,1:1,prva-crnogorska-liga,montenegro,main,2023,2023-10-07,Pinnacle,4.13,3.14,1.96,3.97,3.20,1.81,,,,,,,,,,,,,2.93,2.92,1.32,1.38,2.23,2.19,1.57,1.67,,,,,,,,,,,,,,,,,1.91,1.86,1.83,1.96,1.67,1.63,2.05,2.25,1.44,1.41,2.48,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/jedinstvo-jezero/,GERgp6o7,Jedinstvo,Jezero,2:3,prva-crnogorska-liga,montenegro,main,2023,2023-10-07,Pinnacle,3.03,2.67,2.74,2.63,2.83,2.63,,,,,2.57,2.94,1.41,1.38,2.23,2.50,1.57,1.52,1.87,2.01,1.87,1.81,1.57,1.63,2.23,2.26,,,,,,,,,,,,,,,,,1.41,1.45,2.57,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/mornar-bar-mladost-dg/,nZwsm81l,Mornar Bar,Mladost DG,2:1,prva-crnogorska-liga,montenegro,main,2023,2023-10-07,Pinnacle,1.90,3.08,4.53,1.83,3.04,4.16,2.09,2.18,1.65,1.67,1.84,1.90,1.90,1.92,1.57,1.61,2.23,2.29,1.31,1.33,3.02,3.18,,,,,,,,,,,,,,,,,2.57,2.74,1.41,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/petrovac-decic/,fawonSGf,Petrovac,Decic,2:3,prva-crnogorska-liga,montenegro,main,2023,2023-10-07,Pinnacle,3.71,2.77,2.27,2.77,2.78,2.54,,,,,,,,,2.34,3.04,1.52,1.36,1.96,2.51,1.79,1.52,1.61,1.92,2.15,1.90,,,,,,,,,,,,,,,,,1.44,1.64,2.49,2.25,1.46,1.44,2.60,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/decic-buducnost/,212AhUwR,Decic,Buducnost,2:0,prva-crnogorska-liga,montenegro,main,2023,2023-10-01,Pinnacle,2.82,2.79,2.79,3.11,2.92,2.22,,,,,2.58,2.75,1.47,1.42,2.62,2.35,1.40,1.58,2.22,1.92,1.57,1.90,1.82,1.60,1.93,2.32,,,,,,,,,,,,,,,,,1.58,1.43,2.20,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/jezero-arsenal-tivat/,fya2fj9E,Jezero,Arsenal Tivat,1:1,prva-crnogorska-liga,montenegro,main,2023,2023-10-01,Pinnacle,2.41,2.84,3.30,2.08,2.84,3.55,2.42,2.88,1.47,1.39,2.06,2.38,1.66,1.57,1.79,2.03,1.96,1.80,1.45,1.63,2.52,2.25,1.31,1.43,2.98,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/mladost-dg-petrovac/,8ruwllnr,Mladost DG,Petrovac,0:2,prva-crnogorska-liga,montenegro,main,2023,2023-10-01,Pinnacle,2.89,2.63,2.89,2.67,2.88,2.55,,,,,2.61,2.82,1.40,1.41,2.27,2.38,1.55,1.57,1.92,1.91,1.83,1.91,1.60,1.57,2.17,2.38,,,,,,,,,,,,,,,,,1.44,1.41,2.49,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/rudar-jedinstvo/,lbb6gAOK,Rudar,Jedinstvo,2:2,prva-crnogorska-liga,montenegro,main,2023,2023-10-01,Pinnacle,2.25,2.96,3.47,2.15,2.96,3.21,2.49,2.65,1.44,1.45,2.13,2.23,1.62,1.65,1.86,1.91,1.88,1.91,1.53,1.56,2.31,2.42,1.37,1.39,2.72,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/sutjeska-mornar-bar/,Gp0beWg8,Sutjeska,Mornar Bar,0:1,prva-crnogorska-liga,montenegro,main,2023,2023-10-01,Pinnacle,1.51,3.88,6.55,1.41,4.18,7.18,1.49,1.64,2.45,2.24,1.45,1.49,2.64,2.53,,,,,,,,,,,,,,,,,2.19,2.46,1.63,1.52,1.96,2.18,1.85,1.68,1.66,1.88,2.14,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/arsenal-tivat-rudar/,0xIBXS11,Arsenal Tivat,Rudar,2:0,prva-crnogorska-liga,montenegro,main,2023,2023-09-27,Pinnacle,2.01,3.18,3.87,1.98,2.96,3.68,2.29,2.32,1.54,1.60,2.00,2.01,1.76,1.82,1.68,1.71,2.03,2.11,1.40,1.43,2.64,2.75,1.37,1.35,2.95,3.07,,,,,,,,,,,,,2.90,2.93,1.33,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/montenegro/prva-crnogorska-liga/buducnost-mladost-dg/,fuF3ZlXl,Buducnost,Mladost DG,2:2,prva-crnogorska-liga,montenegro,main,2023,2023-09-27,Pinnacle,1.23,5.94,11.09,1.37,4.22,6.62,,,,,,,,,,,,,,,,,,,,,2.36,1.77,1.49,2.02,2.06,1.61,1.66,2.23,1.85,1.53,1.88,2.40,,,,,,,,,,,,,,,,,,,,,,,,,2.57,2.26,1.48,1.62,2.68,2.01,1.40,1.80,2.58,2.57,1.47,1.47,2.49,2.49,1.50,1.50,,,,
/football/montenegro/prva-crnogorska-liga/jedinstvo-decic/,6FI7Y8ne,Jedinstvo,Decic,0:1,prva-crnogorska-liga,montenegro,main,2023,2023-09-27,Pinnacle,5.37,3.52,1.66,3.17,2.97,2.16,,,,,,,,,,,,,,,,,1.85,2.71,1.85,1.43,,,,,,,,,,,,,,,,,1.62,2.22,2.14,1.65,1.44,1.94,2.50,1.88,1.37,1.63,2.95,2.25,1.41,1.46,2.76,2.62,,,,,,,,,,,,,,,,,,,,,,,,
