Country,League,Date,Home,Away,FTHG,FTAG,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,Pinnacle_-3.5_AH_H_Open,Pinnacle_-3.5_AH_H_Close,Pinnacle_+3.5_AH_A_Open,Pinnacle_+3.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+2_AH_H_Open,Pinnacle_+2_AH_H_Close,Pinnacle_-2_AH_A_Open,Pinnacle_-2_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+2.25_AH_H_Open,Pinnacle_+2.25_AH_H_Close,Pinnacle_-2.25_AH_A_Open,Pinnacle_-2.25_AH_A_Close,Pinnacle_+2.5_AH_H_Open,Pinnacle_+2.5_AH_H_Close,Pinnacle_-2.5_AH_A_Open,Pinnacle_-2.5_AH_A_Close,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-3_AH_H_Open,Pinnacle_-3_AH_H_Close,Pinnacle_+3_AH_A_Open,Pinnacle_+3_AH_A_Close,Pinnacle_-2.75_AH_H_Open,Pinnacle_-2.75_AH_H_Close,Pinnacle_+2.75_AH_A_Open,Pinnacle_+2.75_AH_A_Close,Pinnacle_-4_AH_H_Open,Pinnacle_-4_AH_H_Close,Pinnacle_+4_AH_A_Open,Pinnacle_+4_AH_A_Close,Pinnacle_-3.75_AH_H_Open,Pinnacle_-3.75_AH_H_Close,Pinnacle_+3.75_AH_A_Open,Pinnacle_+3.75_AH_A_Close,Pinnacle_-3.25_AH_H_Open,Pinnacle_-3.25_AH_H_Close,Pinnacle_+3.25_AH_A_Open,Pinnacle_+3.25_AH_A_Close
cambodia,cpl,2023-11-05,Angkor Tiger,Dangkor,2,1,Pinnacle,2.22,3.30,2.54,2.65,3.50,2.14,,,,,1.41,1.44,2.50,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,2.32,1.68,1.49,,,,,1.71,2.05,1.98,1.65,1.52,1.79,2.24,1.90,,,,,,,,,,,,,1.40,1.61,2.49,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambodia,cpl,2023-11-05,Svay Rieng,Tiffy Army,1,0,Pinnacle,1.44,4.20,4.57,1.93,4.09,2.93,,,,,,,,,,,,,,,,,,,,,,,,,1.93,2.39,1.75,1.46,1.68,2.50,1.96,1.45,1.52,2.14,2.18,1.64,1.47,1.93,2.35,1.82,1.49,1.72,2.30,2.01,,,,,1.60,1.52,2.12,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambodia,cpl,2023-11-04,Boeung Ket,Phnom Penh Crown,5,5,Pinnacle,3.47,3.65,1.70,4.21,3.90,1.63,,,,,1.78,1.95,1.90,1.79,1.55,1.70,2.16,2.04,1.43,1.54,2.39,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,2.53,1.51,1.44,,,,,,,,,,,,,1.94,2.17,1.69,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambodia,cpl,2023-11-04,Kirivong Sok Sen Chey,Visakha,0,2,Pinnacle,5.22,4.49,1.36,5.47,4.73,1.40,,,,,2.44,2.44,1.42,1.48,2.20,2.16,1.53,1.63,1.93,1.87,1.75,1.87,1.70,1.67,1.93,2.08,1.54,1.51,2.15,2.35,,,,,,,,,,,,,,,,,,,,,1.54,1.44,2.27,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambodia,cpl,2023-11-04,NagaWorld,Prey Veng,0,4,Pinnacle,1.60,3.82,3.80,1.89,3.69,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,2.50,1.68,1.46,1.76,2.12,1.92,1.65,1.59,1.89,2.09,1.85,1.43,1.67,2.42,2.08,,,,,1.38,1.45,2.77,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambodia,cpl,2023-10-29,Angkor Tiger,NagaWorld,0,0,Pinnacle,3.70,3.71,1.64,4.56,4.03,1.56,,,,,1.85,2.06,1.81,1.68,1.62,1.83,2.04,1.91,1.48,1.63,2.28,2.15,1.53,1.50,2.31,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,2.28,1.63,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambodia,cpl,2023-10-29,Dangkor,Tiffy Army,2,1,Pinnacle,4.74,4.33,1.43,3.66,4.18,1.68,,,,,2.26,1.89,1.51,1.85,2.03,1.67,1.65,2.09,1.79,1.52,1.88,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,2.37,1.58,1.50,,,,,,,,,,,,,1.89,2.08,1.78,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambodia,cpl,2023-10-29,Kirivong Sok Sen Chey,Phnom Penh Crown,1,0,Pinnacle,6.09,4.94,1.29,8.80,5.68,1.22,,,,,,,,,,,,,2.10,2.54,1.61,1.43,1.88,2.21,1.79,1.59,1.68,1.98,1.98,1.76,,,,,,,,,,,,,,,,,,,,,1.49,1.71,2.29,2.01,,,,,,,,,,,,,,,,,,,,,,,,,1.64,1.53,2.04,2.28,1.46,1.46,2.41,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambodia,cpl,2023-10-29,Prey Veng,Visakha,0,2,Pinnacle,4.07,4.12,1.51,6.02,4.95,1.36,,,,,,,,,1.86,2.39,1.81,1.50,1.66,2.06,2.01,1.68,1.53,1.86,2.21,1.88,1.56,1.67,2.25,2.08,,,,,,,,,,,,,,,,,,,,,1.51,1.49,2.36,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambodia,cpl,2023-10-28,Boeung Ket,Svay Rieng,1,3,Pinnacle,2.93,3.44,1.97,3.18,3.86,1.88,,,,,1.53,1.67,2.21,2.09,1.45,1.47,2.39,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,2.48,1.52,1.46,1.93,2.09,1.75,1.67,,,,,,,,,,,,,1.70,1.86,1.96,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
