Country,League,Year,Date,Home,Away,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,-2.75_AH_H_Open,-2.75_AH_H_Close,+2.75_AH_A_Open,+2.75_AH_A_Close,-2.5_AH_H_Open,-2.5_AH_H_Close,+2.5_AH_A_Open,+2.5_AH_A_Close,-2.25_AH_H_Open,-2.25_AH_H_Close,+2.25_AH_A_Open,+2.25_AH_A_Close,-2_AH_H_Open,-2_AH_H_Close,+2_AH_A_Open,+2_AH_A_Close,-1.75_AH_H_Open,-1.75_AH_H_Close,+1.75_AH_A_Open,+1.75_AH_A_Close,-1.5_AH_H_Open,-1.5_AH_H_Close,+1.5_AH_A_Open,+1.5_AH_A_Close,-1.25_AH_H_Open,-1.25_AH_H_Close,+1.25_AH_A_Open,+1.25_AH_A_Close,-1_AH_H_Open,-1_AH_H_Close,+1_AH_A_Open,+1_AH_A_Close,-0.75_AH_H_Open,-0.75_AH_H_Close,+0.75_AH_A_Open,+0.75_AH_A_Close,-0.5_AH_H_Open,-0.5_AH_H_Close,+0.5_AH_A_Open,+0.5_AH_A_Close,-0.25_AH_H_Open,-0.25_AH_H_Close,+0.25_AH_A_Open,+0.25_AH_A_Close,+0_AH_H_Open,+0_AH_H_Close,-0_AH_A_Open,-0_AH_A_Close,+0.25_AH_H_Open,+0.25_AH_H_Close,-0.25_AH_A_Open,-0.25_AH_A_Close,+0.5_AH_H_Open,+0.5_AH_H_Close,-0.5_AH_A_Open,-0.5_AH_A_Close,+0.75_AH_H_Open,+0.75_AH_H_Close,-0.75_AH_A_Open,-0.75_AH_A_Close,+1_AH_H_Open,+1_AH_H_Close,-1_AH_A_Open,-1_AH_A_Close,+1.25_AH_H_Open,+1.25_AH_H_Close,-1.25_AH_A_Open,-1.25_AH_A_Close,+1.5_AH_H_Open,+1.5_AH_H_Close,-1.5_AH_A_Open,-1.5_AH_A_Close,+1.75_AH_H_Open,+1.75_AH_H_Close,-1.75_AH_A_Open,-1.75_AH_A_Close,FTR
montenegro,prva-crnogorska-liga,2023.0,2023-08-26,Decic,Rudar,Pinnacle,1.58,3.50,5.09,1.57,3.54,6.07,,,,,,,,,,,,,,,,,,,,,2.61,2.70,1.46,1.42,2.30,2.39,1.52,1.55,2.01,2.05,1.70,1.76,1.76,1.72,2.00,2.06,1.57,1.55,2.22,2.34,1.38,1.37,2.71,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:1
montenegro,prva-crnogorska-liga,2023.0,2023-08-26,Buducnost,Arsenal Tivat,Pinnacle,1.40,4.10,6.27,1.48,4.06,6.67,,,,,,,,,,,,,,,,,,,,,2.13,2.32,1.62,1.57,1.92,2.07,1.83,1.75,1.64,1.80,2.10,2.04,1.48,1.59,2.38,2.34,1.46,1.46,2.62,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:0
montenegro,prva-crnogorska-liga,2023.0,2023-08-26,Petrovac,Sutjeska,Pinnacle,3.27,3.15,2.08,3.39,3.50,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40,2.50,1.51,1.50,1.94,2.04,1.80,1.77,1.69,1.79,2.06,2.04,1.50,1.58,2.38,2.35,1.40,1.38,2.87,2.94,,,,,,,,,,,,,1:1
montenegro,prva-crnogorska-liga,2023.0,2023-08-26,Mornar Bar,Jedinstvo,Pinnacle,1.75,3.23,4.30,2.14,2.89,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.50,1.76,1.44,1.74,2.12,1.96,1.63,1.50,1.83,2.33,1.88,1.29,1.51,3.18,2.35,1.37,1.36,2.98,2.77,,,,,,,,,,,,,,,,,,,,,,,,,4:3
montenegro,prva-crnogorska-liga,2023.0,2023-09-03,Jedinstvo,Buducnost,Pinnacle,3.99,3.12,1.87,4.94,3.53,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,2.59,1.61,1.47,1.87,2.15,1.87,1.69,1.65,1.90,2.13,1.92,1.42,1.62,2.60,2.28,1.42,1.46,2.72,2.62,,,,,,,,,1:4
montenegro,prva-crnogorska-liga,2023.0,2023-09-03,Arsenal Tivat,Petrovac,Pinnacle,2.53,2.84,2.73,2.66,2.87,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47,2.60,1.45,1.47,2.14,2.23,1.61,1.65,1.79,1.83,1.95,1.99,1.53,1.56,2.32,2.41,1.39,1.41,2.67,2.81,,,,,,,,,,,,,,,,,,,,,2:2
montenegro,prva-crnogorska-liga,2023.0,2023-09-03,Rudar,Mornar Bar,Pinnacle,3.06,2.82,2.31,2.43,2.98,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,2.91,1.38,1.38,2.61,2.40,1.46,1.56,2.57,2.07,1.41,1.78,2.16,1.69,1.61,2.15,1.77,1.48,1.98,2.57,1.54,1.39,2.28,2.87,,,,,,,,,,,,,,,,,,,,,0:0
montenegro,prva-crnogorska-liga,2023.0,2023-09-03,Sutjeska,Mladost DG,Pinnacle,1.34,4.35,7.10,1.47,4.05,6.97,,,,,,,,,,,,,,,,,2.27,2.74,1.53,1.43,1.99,2.34,1.71,1.57,1.79,2.07,1.96,1.75,1.53,1.79,2.30,2.05,1.41,1.58,2.60,2.36,1.49,1.46,2.53,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:3
montenegro,prva-crnogorska-liga,2023.0,2023-09-03,Jezero,Decic,Pinnacle,2.76,2.76,2.57,3.01,2.95,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,2.93,1.38,1.38,2.33,2.54,1.52,1.51,1.94,2.11,1.81,1.74,1.60,1.72,2.17,2.11,1.43,1.52,2.52,2.44,,,,,,,,,,,,,,,,,,,,,0:0
montenegro,prva-crnogorska-liga,2023.0,2023-09-16,Rudar,Jezero,Pinnacle,2.54,2.75,2.88,2.57,2.73,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,3.05,1.35,1.35,2.49,2.52,1.46,1.50,2.14,2.13,1.64,1.70,1.76,1.72,2.00,2.14,1.50,1.48,2.42,2.63,1.37,1.35,2.81,3.08,,,,,,,,,,,,,,,,,,,,,0:1
