Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close
algeria,ligue-1,2023-09-23,ES Setif,El Bayadh,2,1,,,,,,,,,,,,,,,,,,,,,2.84,2.79,1.36,1.43,2.25,2.16,1.58,1.71,1.96,1.87,1.82,1.99,1.65,1.57,2.12,2.44,1.36,1.27,2.86,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-09-23,CR Belouizdad,Magra,1,0,,,,,2.77,2.82,1.42,1.42,2.71,2.27,1.41,1.65,2.35,1.98,1.53,1.88,2.08,1.71,1.69,2.16,1.8,1.44,1.97,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-09-23,Biskra,US Souf,3,1,,,,,,,,,,,,,,,,,2.65,2.53,1.41,1.51,2.32,2.18,1.55,1.7,1.94,1.84,1.83,2.02,1.69,1.64,2.05,2.3,1.46,1.41,2.48,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-09-27,Paradou,USM Alger,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,2.66,2.22,1.47,1.39,2.27,2.72,1.65,1.37,1.85,3.0,2.01,1.39,1.56,2.93,2.47,1.42,1.4,2.79,2.89,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-09-29,Magra,Biskra,2,1,,,,,,,,,,,,,,,,,,,,,2.96,3.29,1.33,1.33,2.31,2.48,1.55,1.55,2.0,2.1,1.78,1.78,1.68,1.74,2.08,2.12,1.37,1.38,2.79,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-09-29,Khenchela,Kabylie,2,1,,,,,,,,,,,,,,,,,,,,,3.13,3.26,1.35,1.33,3.09,2.42,1.36,1.57,2.58,2.05,1.45,1.82,2.18,1.69,1.64,2.19,1.76,1.34,2.03,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-09-29,US Souf,Oran,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2.97,2.51,1.38,1.52,2.46,2.12,1.55,1.74,2.1,1.78,1.76,2.09,1.69,1.41,2.17,2.95,1.47,1.28,2.63,3.59,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-09-30,Saoura,Ben Aknoun,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-09-30,MC Alger,El Bayadh,2,0,,,,,,,,,2.91,2.78,1.39,1.43,2.71,2.31,1.41,1.63,2.39,1.97,1.53,1.88,2.04,1.59,1.75,2.38,1.71,1.41,2.06,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-09-30,ASO Chlef,Constantine,1,0,,,,,,,,,,,,,,,,,2.79,3.08,1.39,1.37,2.44,2.63,1.51,1.5,2.01,2.07,1.78,1.8,1.76,1.78,2.0,2.07,1.51,1.52,2.41,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
