Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_-4.25_AH_H_Open,Pinnacle_-4.25_AH_H_Close,Pinnacle_+4.25_AH_A_Open,Pinnacle_+4.25_AH_A_Close,Pinnacle_-4_AH_H_Open,Pinnacle_-4_AH_H_Close,Pinnacle_+4_AH_A_Open,Pinnacle_+4_AH_A_Close,Pinnacle_-3.75_AH_H_Open,Pinnacle_-3.75_AH_H_Close,Pinnacle_+3.75_AH_A_Open,Pinnacle_+3.75_AH_A_Close,Pinnacle_-3.5_AH_H_Open,Pinnacle_-3.5_AH_H_Close,Pinnacle_+3.5_AH_A_Open,Pinnacle_+3.5_AH_A_Close,Pinnacle_-3.25_AH_H_Open,Pinnacle_-3.25_AH_H_Close,Pinnacle_+3.25_AH_A_Open,Pinnacle_+3.25_AH_A_Close,Pinnacle_-3_AH_H_Open,Pinnacle_-3_AH_H_Close,Pinnacle_+3_AH_A_Open,Pinnacle_+3_AH_A_Close,Pinnacle_-2.75_AH_H_Open,Pinnacle_-2.75_AH_H_Close,Pinnacle_+2.75_AH_A_Open,Pinnacle_+2.75_AH_A_Close,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close,Pinnacle_+2_AH_H_Open,Pinnacle_+2_AH_H_Close,Pinnacle_-2_AH_A_Open,Pinnacle_-2_AH_A_Close,Pinnacle_+2.25_AH_H_Open,Pinnacle_+2.25_AH_H_Close,Pinnacle_-2.25_AH_A_Open,Pinnacle_-2.25_AH_A_Close,Pinnacle_+2.5_AH_H_Open,Pinnacle_+2.5_AH_H_Close,Pinnacle_-2.5_AH_A_Open,Pinnacle_-2.5_AH_A_Close,Pinnacle_+2.75_AH_H_Open,Pinnacle_+2.75_AH_H_Close,Pinnacle_-2.75_AH_A_Open,Pinnacle_-2.75_AH_A_Close,Pinnacle_+3.75_AH_H_Open,Pinnacle_+3.75_AH_H_Close,Pinnacle_-3.75_AH_A_Open,Pinnacle_-3.75_AH_A_Close,Pinnacle_+4_AH_H_Open,Pinnacle_+4_AH_H_Close,Pinnacle_-4_AH_A_Open,Pinnacle_-4_AH_A_Close,Pinnacle_+4.25_AH_H_Open,Pinnacle_+4.25_AH_H_Close,Pinnacle_-4.25_AH_A_Open,Pinnacle_-4.25_AH_A_Close,Pinnacle_+4.5_AH_H_Open,Pinnacle_+4.5_AH_H_Close,Pinnacle_-4.5_AH_A_Open,Pinnacle_-4.5_AH_A_Close,Pinnacle_+4.75_AH_H_Open,Pinnacle_+4.75_AH_H_Close,Pinnacle_-4.75_AH_A_Open,Pinnacle_-4.75_AH_A_Close,Pinnacle_+5_AH_H_Open,Pinnacle_+5_AH_H_Close,Pinnacle_-5_AH_A_Open,Pinnacle_-5_AH_A_Close,Pinnacle_+5.25_AH_H_Close,Pinnacle_+5.25_AH_H_Open,Pinnacle_-5.25_AH_A_Close,Pinnacle_-5.25_AH_A_Open
andorra,primera-divisio,2023-10-01,Penya,Pas de la Casa,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,2.5,1.56,1.46,1.98,2.21,1.76,1.6,1.69,1.89,2.0,1.85,1.53,1.68,2.24,2.06,1.4,1.49,2.67,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-10-01,Esperanca,Atletic America,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.55,1.4,1.44,2.29,2.24,1.53,1.58,1.93,1.9,1.79,1.84,1.69,1.68,2.01,2.07,1.51,1.51,2.28,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-10-01,Carroi,FC Santa Coloma,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,2.62,1.43,1.42,2.08,2.31,1.65,1.53,1.85,2.0,1.89,1.72,1.63,1.79,2.12,1.93,1.43,1.56,2.53,2.28,1.43,1.43,2.56,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-10-01,Atletic Escaldes,Ordino,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,2.36,2.15,1.51,1.43,2.1,2.44,1.66,1.36,1.82,2.76,1.93,1.43,1.6,2.57,2.21,1.46,1.46,2.47,2.48,1.46,1.43,2.49,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-10-07,Pas de la Casa,Esperanca,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,2.32,1.56,1.52,1.97,2.23,1.71,1.59,1.75,1.98,2.0,1.77,1.55,1.74,2.24,1.99,1.43,1.58,2.48,2.2,1.47,1.48,2.45,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-10-08,FC Santa Coloma,Penya,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,2.55,1.52,1.44,1.93,2.22,1.74,1.57,1.71,1.98,1.93,1.75,1.52,1.77,2.21,1.98,1.42,1.53,2.53,2.36,1.4,1.4,2.63,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-10-08,Atletic America,UE Santa Coloma,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,2.36,1.83,1.49,1.66,2.0,2.05,1.7,1.48,2.38,2.36,1.49,1.4,2.11,2.66,1.65,1.39,1.82,2.67,1.91,1.57,1.63,2.22,2.13,1.41,1.47,2.57,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-10-08,Ordino,Carroi,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,2.3,1.6,1.53,1.88,2.05,1.81,1.69,1.65,1.8,2.06,1.94,1.51,1.63,2.3,2.15,1.42,1.46,2.58,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-10-08,Inter Escaldes,Atletic Escaldes,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,2.52,1.46,1.45,2.58,2.22,1.42,1.59,2.79,1.91,1.36,1.83,2.4,1.64,1.43,2.14,2.07,1.49,1.6,2.42,1.83,1.38,1.83,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-10-21,Atletic America,Pas de la Casa,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,2.52,1.6,1.45,1.96,2.26,1.78,1.57,1.69,1.99,2.01,1.77,1.52,1.72,2.26,2.02,1.55,1.56,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-10-22,UE Santa Coloma,Atletic Escaldes,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89,2.98,1.34,1.33,2.71,2.42,1.35,1.48,2.29,2.06,1.51,1.68,2.01,1.78,1.69,1.97,1.67,1.46,2.0,2.55,1.47,1.32,2.34,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-10-22,Penya,Ordino,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,2.44,1.37,1.48,2.6,2.03,1.41,1.71,2.4,1.8,1.43,1.94,2.12,1.58,1.57,2.24,1.83,1.37,1.83,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-10-22,Esperanca,FC Santa Coloma,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,2.26,1.77,1.54,1.73,2.02,1.95,1.7,1.51,1.75,2.29,1.99,1.4,1.55,2.64,2.28,1.46,1.43,2.46,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-10-22,Carroi,Inter Escaldes,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,2.47,1.63,1.46,1.88,2.2,1.83,1.6,1.67,1.89,2.05,1.83,1.53,1.69,2.27,2.04,1.43,1.52,2.53,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-10-28,Ordino,Esperanca,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-10-29,Atletic Escaldes,Carroi,8,1,,,,,,,,,,,,,,,,,,,,,2.38,2.46,1.49,1.46,2.38,2.12,1.49,1.64,2.39,1.92,1.48,1.81,2.17,1.71,1.6,2.01,1.93,1.5,1.78,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-10-29,Pas de la Casa,UE Santa Coloma,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,2.56,1.46,1.43,2.47,2.33,1.46,1.52,2.2,2.04,1.6,1.7,1.89,1.78,1.83,1.97,1.69,1.6,2.04,2.21,1.52,1.43,2.32,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-10-29,Inter Escaldes,Penya,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,2.73,1.6,1.39,1.83,2.25,1.83,1.58,1.64,1.98,2.01,1.78,1.47,1.74,2.31,1.99,1.38,1.5,2.76,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-10-29,FC Santa Coloma,Atletic America,4,0,,,,,,,,,,,,,,,,,2.46,2.21,1.46,1.56,2.28,1.99,1.51,1.71,1.98,1.78,1.7,1.94,1.81,1.62,1.91,2.13,1.61,1.46,2.14,2.45,1.41,1.43,2.56,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-11-04,Penya,Atletic Escaldes,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.48,1.41,1.46,2.16,2.12,1.53,1.65,1.95,1.91,1.68,1.83,1.74,1.67,1.94,2.09,1.54,1.51,2.18,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-11-05,Pas de la Casa,FC Santa Coloma,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,2.29,1.56,1.53,1.93,1.98,1.77,1.73,1.71,1.79,1.97,1.94,1.5,1.56,2.31,2.28,1.43,1.43,2.56,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andorra,primera-divisio,2023-11-05,Esperanca,Inter Escaldes,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,2.28,1.53,1.52,2.07,2.08,1.66,1.65,2.12,1.86,1.59,1.85,1.93,1.7,1.75,2.01,1.79,1.56,1.93,2.2,1.61,1.56,2.13,2.13,1.51,1.5,2.22,2.31
andorra,primera-divisio,2023-11-05,Atletic America,Ordino,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,2.55,1.45,1.43,2.09,2.28,1.63,1.53,1.89,2.05,1.83,1.68,1.64,1.82,2.09,1.91,1.49,1.62,2.35,2.16,1.53,1.49,2.28,2.39,1.47,1.44,2.42,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
